Key,En,Ru
title,📖 {Username}'s Profile,📖 Профиль участника - {Username}
roles_title,🌐 Roles,🌐 Роли
roles_value,{HeartVal} `{Count}`,{HeartVal} `{Count}`
joined_title,Joined guild at,Присоединился к серверу
joined_value,<t:{JoinedAt}:R>,<t:{JoinedAt}:R>
